Gene	WT_rep1
ENSRNA049475177	0
ENSRNA049475180	0
ENSRNA049475188	0
ENSRNA049475192	0
ENSRNA049475194	0
ENSRNA049475196	0
ENSRNA049475198	0
ENSRNA049475204	0
ENSRNA049475210	0
ENSRNA049475215	0
ENSRNA049475220	0
ENSRNA049475225	0
ENSRNA049475228	0
ENSRNA049475231	0
ENSRNA049475235	0
ENSRNA049475240	0
ENSRNA049475244	0
ENSRNA049475249	0
ENSRNA049475253	0
ENSRNA049475259	0
ENSRNA049475265	0
ENSRNA049475270	0
ENSRNA049475277	0
ENSRNA049475281	0
ENSRNA049475285	0
ENSRNA049475289	0
ENSRNA049475294	0
ENSRNA049475298	0
ENSRNA049475304	0
ENSRNA049475310	0
ENSRNA049475313	0
ENSRNA049475320	0
ENSRNA049475326	0
ENSRNA049475333	0
ENSRNA049475337	0
ENSRNA049475342	0
ENSRNA049475351	0
ENSRNA049475354	0
ENSRNA049475361	0
ENSRNA049475368	0
ENSRNA049475374	0
ENSRNA049475382	0
ENSRNA049475389	0
ENSRNA049475395	0
ENSRNA049475403	0
ENSRNA049475412	0
ENSRNA049475415	0
ENSRNA049475420	0
ENSRNA049475428	0
ENSRNA049475433	0
ENSRNA049475440	0
ENSRNA049475447	0
ENSRNA049475452	0
ENSRNA049475454	0
ENSRNA049475460	0
ENSRNA049475465	0
ENSRNA049475469	0
ENSRNA049475480	0
ENSRNA049475489	0
ENSRNA049475500	0
ENSRNA049475575	23
ENSRNA049475592	0
ENSRNA049475602	34
ENSRNA049475619	0
ENSRNA049475631	0
ENSRNA049475677	0
ENSRNA049475684	0
ENSRNA049475689	0
ENSRNA049475695	0
ENSRNA049475701	2
ENSRNA049475715	19
ENSRNA049475720	0
ENSRNA049475726	0
ENSRNA049475731	0
ENSRNA049475757	0
ENSRNA049475823	0
ENSRNA049475834	9
ENSRNA049475843	311
ENSRNA049475857	0
ENSRNA049475862	0
ENSRNA049475919	0
ENSRNA049475930	1
ENSRNA049475944	0
ENSRNA049475950	1
ENSRNA049475955	1
ENSRNA049475964	0
ENSRNA049475971	0
ENSRNA049476044	0
ENSRNA049476058	0
ENSRNA049476067	0
ENSRNA049476078	0
ENSRNA049476083	0
ENSRNA049476086	1
ENSRNA049476096	0
ENSRNA049476104	0
ENSRNA049476114	0
ENSRNA049476183	0
ENSRNA049476188	0
ENSRNA049476201	36
ENSRNA049476209	7
ENSRNA049476255	0
ENSRNA049476265	0
ENSRNA049476273	0
ENSRNA049476286	3
ENSRNA049476289	4
ENSRNA049476293	0
ENSRNA049476301	9
ENSRNA049476307	6
ENSRNA049476316	2
ENSRNA049476319	3
ENSRNA049476324	0
ENSRNA049476335	1
ENSRNA049476340	0
ENSRNA049476352	0
ENSRNA049476356	0
ENSRNA049476364	0
ENSRNA049476388	1
ENSRNA049476404	25
ENSRNA049476411	0
ENSRNA049476419	0
ENSRNA049476430	0
ENSRNA049476437	0
ENSRNA049476444	0
ENSRNA049476447	0
ENSRNA049476452	0
ENSRNA049476493	0
ENSRNA049476498	0
ENSRNA049476502	0
ENSRNA049476508	0
ENSRNA049476514	0
ENSRNA049476519	0
ENSRNA049476535	3
ENSRNA049761202	0
ENSRNA049761207	0
ENSRNA049761212	0
ENSRNA049761216	0
ENSRNA049761426	0
ENSRNA049761428	0
ENSRNA049761430	0
ENSRNA049761432	0
ENSRNA049761434	0
ENSRNA049911397	0
ENSRNA049911403	0
ENSRNA049911410	0
ENSRNA049911413	0
ENSRNA049911424	0
ENSRNA050013642	0
ENSRNA050013643	0
ENSRNA050013644	0
ENSRNA050013645	0
ENSRNA050013646	0
ENSRNA050013647	0
ENSRNA050013648	0
ENSRNA050013649	0
ENSRNA050013650	2
ENSRNA050013651	0
ENSRNA050013652	0
ENSRNA050013653	0
ENSRNA050013654	0
ENSRNA050013655	0
ENSRNA050013656	0
ENSRNA050013657	0
ENSRNA050013658	0
ENSRNA050013659	0
ENSRNA050013660	0
ENSRNA050013661	0
ENSRNA050013662	0
ENSRNA050013663	1
ENSRNA050013664	0
ENSRNA050013665	0
ENSRNA050013666	0
ENSRNA050013667	0
ENSRNA050013668	0
ENSRNA050013669	0
ENSRNA050013670	1
ENSRNA050013671	0
ENSRNA050013672	3
ENSRNA050013673	0
ENSRNA050013674	0
EPlORYSAT000373567	0
EPlORYSAT000373575	0
EPlORYSAT000373605	0
EPlORYSAT000373608	2
EPlORYSAT000373610	0
EPlORYSAT000373611	0
EPlORYSAT000373612	0
EPlORYSAT000373613	0
EPlORYSAT000373614	0
EPlORYSAT000373615	0
EPlORYSAT000373616	1
EPlORYSAT000373619	0
EPlORYSAT000373620	0
EPlORYSAT000373621	0
EPlORYSAT000373624	0
EPlORYSAT000373629	0
EPlORYSAT000373635	0
EPlORYSAT000373637	0
EPlORYSAT000373640	0
EPlORYSAT000373643	0
EPlORYSAT000373647	1
EPlORYSAT000373650	0
EPlORYSAT000373652	0
EPlORYSAT000373653	0
EPlORYSAT000373657	0
EPlORYSAT000373668	0
EPlORYSAT000373669	0
EPlORYSAT000373673	0
EPlORYSAT000373783	0
EPlORYSAT000373784	0
EPlORYSAT000373785	0
EPlORYSAT000373786	0
EPlORYSAT000373788	0
EPlORYSAT000373789	0
EPlORYSAT000373790	0
EPlORYSAT000373793	0
EPlORYSAT000373795	0
EPlORYSAT000373797	0
EPlORYSAT000373798	0
EPlORYSAT000373802	0
EPlORYSAT000373803	0
EPlORYSAT000373805	5
EPlORYSAT000373810	0
